Class,Method Name,Arg/Ret/Var,Variable Name,Inferred Type,Original Type,Exact (E) / Up to Parameter (P) / Got Type (T) / None (N),Solution Source,Source Code
Money::Currency::MissingAttributeError,initialize,Ret,"",self,self,E,,"def initialize(method, currency, attribute)
        super(
          ""Can't call Currency.#{method} - currency '#{currency}' is missing ""\
          ""the attribute '#{attribute}'""
        )
      end"
[s]Money::Currency,find,Arg,id,[ to_s: () -> String ],(String or Symbol or [ to_s: (String) -> String ]),TS,Constraints,"def find(id)
        id = id.to_s.downcase.to_sym
        new(id)
      rescue UnknownCurrency
        nil
      end"
[s]Money::Currency,find,Ret,"",nil,Money::Currency,T,Constraints,"def find(id)
        id = id.to_s.downcase.to_sym
        new(id)
      rescue UnknownCurrency
        nil
      end"
[s]Money::Currency,find_by_iso_numeric,Arg,num,String,[ to_s: (String) -> String ],T,Twin,"def find_by_iso_numeric(num)
        num = num.to_s.rjust(3, '0')
        return if num.empty?
        id, _ = self.table.find { |key, currency| currency[:iso_numeric] == num }
        new(id)
      rescue UnknownCurrency
        nil
      end"
[s]Money::Currency,find_by_iso_numeric,Ret,"",nil,Money::Currency,T,Constraints,"def find_by_iso_numeric(num)
        num = num.to_s.rjust(3, '0')
        return if num.empty?
        id, _ = self.table.find { |key, currency| currency[:iso_numeric] == num }
        new(id)
      rescue UnknownCurrency
        nil
      end"
[s]Money::Currency,wrap,Arg,object,([ is_a?: (Class) -> { { [s]Money::Currency#wrap arg: object }#is_a? call_ret: ret } ] and [ nil?: () -> { { [s]Money::Currency#wrap arg: object }#nil? call_ret: ret } ]),Object,TS,Constraints,"def wrap(object)
        if object.nil?
          nil
        elsif object.is_a?(Currency)
          RDL.type_cast(object, ""Money::Currency"")
        else
          Currency.new(RDL.type_cast(object, ""String or Symbol""))
        end
      end"
[s]Money::Currency,wrap,Ret,"",Money::Currency,Money::Currency,E,Constraints,"def wrap(object)
        if object.nil?
          nil
        elsif object.is_a?(Currency)
          RDL.type_cast(object, ""Money::Currency"")
        else
          Currency.new(RDL.type_cast(object, ""String or Symbol""))
        end
      end"
[s]Money::Currency,all,Ret,"",{ [s]Money::Currency#all ret: ret },Array,N,,"def all
        table.keys.map do |curr|
          c = Currency.new(curr)
          if c.priority.nil?
            raise MissingAttributeError.new(:all, c.id, :priority)
          end
          c
        end.sort_by(&:priority)
      end"
[s]Money::Currency,stringified_keys,Ret,"","Hash<{ Money::RatesStore::Memory#initialize hash_param_key: hash_param_key_#<Parser::Source::Map::Collection:0x00007fd987943258> }, { Money::RatesStore::Memory#initialize hash_param_val: hash_param_val_#<Parser::Source::Map::Collection:0x00007fd987943258> }>",Set,T,Constraints,"def stringified_keys
        @stringified_keys ||= stringify_keys
      end"
[s]Money::Currency,register,Arg,curr,[ fetch: (:iso_code) -> { { [s]Money::Currency#register arg: curr }#fetch call_ret: ret } ],Hash,TS,Constraints,"def register(curr)
        key = curr.fetch(:iso_code).downcase.to_sym
        @@mutex.synchronize { _instances.delete(key.to_s) }
        @table[key] = curr
        @stringified_keys = nil
      end"
[s]Money::Currency,inherit,Arg,parent_iso_code,[ downcase: () -> { { [s]Money::Currency#inherit arg: parent_iso_code }#downcase call_ret: ret } ],String,TS,Constraints,"def inherit(parent_iso_code, curr)
        parent_iso_code = parent_iso_code.downcase.to_sym
        curr = @table.fetch(parent_iso_code, {}).merge(curr)
        register(curr)
      end"
[s]Money::Currency,inherit,Arg,curr,[ fetch: (:iso_code) -> { { [s]Money::Currency#register arg: curr }#fetch call_ret: ret } ],Hash,TS,Constraints,"def inherit(parent_iso_code, curr)
        parent_iso_code = parent_iso_code.downcase.to_sym
        curr = @table.fetch(parent_iso_code, {}).merge(curr)
        register(curr)
      end"
[s]Money::Currency,unregister,Arg,curr,([ fetch: (:iso_code) -> { { [s]Money::Currency#unregister arg: curr }#fetch call_ret: ret } ] and [ is_a?: (Class) -> { { [s]Money::Currency#unregister arg: curr }#is_a? call_ret: ret } ]),Object,TS,Constraints,"def unregister(curr)
        if curr.is_a?(Hash)
          key = curr.fetch(:iso_code).downcase.to_sym
        else
          key = RDL.type_cast(curr, ""String or Symbol"").downcase.to_sym
        end
        existed = @table.delete(key)
        @stringified_keys = nil if existed
        existed ? true : false
      end"
[s]Money::Currency,unregister,Ret,"",(false or true),(false or true),E,Constraints,"def unregister(curr)
        if curr.is_a?(Hash)
          key = curr.fetch(:iso_code).downcase.to_sym
        else
          key = RDL.type_cast(curr, ""String or Symbol"").downcase.to_sym
        end
        existed = @table.delete(key)
        @stringified_keys = nil if existed
        existed ? true : false
      end"
Money::Currency,initialize,Arg,id,[ to_sym: () -> { { Money::Currency#initialize arg: id }#to_sym call_ret: ret } ],(String or Symbol or [ to_s: (String) -> String ]),TS,Constraints,"def initialize(id)
      @id = id.to_sym
      initialize_data!
    end"
Money::Currency,initialize,Ret,"",self,self,E,,"def initialize(id)
      @id = id.to_sym
      initialize_data!
    end"
